导弹高度,导弹距离,导弹速度,导弹过载,导弹经度,导弹纬度,弹目距离,目标经度,目标纬度,目标高度,目标速度
0.03,0.2156,0.5304,0,2.025,0.2886,200723.9945,2.0426,0.3151,24978.9332,680
0.1009,0.2278,2.6999,0,2.025,0.2886,200696.9668,2.0426,0.3151,24978.2371,680
0.3141,0.3588,6.327,0,2.025,0.2886,200669.9196,2.0426,0.3151,24977.541,680
0.711,0.7171,10.2402,0,2.025,0.2886,200642.8471,2.0426,0.3151,24976.8451,680
1.2984,1.2897,14.269,0,2.025,0.2886,200615.7483,2.0426,0.3151,24976.1493,680
2.0819,2.0667,18.4175,0,2.025,0.2886,200588.6226,2.0426,0.3151,24975.4536,680
3.0674,3.0489,22.6898,0,2.025,0.2886,200561.469,2.0426,0.3151,24974.758,680
4.2607,4.2406,27.0745,0,2.025,0.2886,200534.2868,2.0425,0.3151,24974.0626,680
5.6657,5.6448,31.5094,0,2.025,0.2886,200507.0754,2.0425,0.3151,24973.3673,680
7.2844,7.2633,35.9853,0,2.025,0.2886,200479.8345,2.0425,0.315,24972.672,680
9.1188,9.0978,40.5016,0,2.025,0.2886,200452.564,2.0425,0.315,24971.9769,680
11.1708,11.1502,45.0574,0,2.025,0.2886,200425.2634,2.0425,0.315,24970.5871,680
13.4423,13.4223,49.6513,0,2.025,0.2886,200397.9325,2.0425,0.315,24970.5871,680
15.9349,15.9157,54.2758,0,2.025,0.2886,200370.5712,2.0425,0.315,24969.8923,680
18.6501,18.6318,58.9298,0,2.025,0.2886,200343.1791,2.0425,0.315,24969.1977,680
21.5891,21.5719,63.6087,0,2.025,0.2886,200315.7562,2.0425,0.315,24968.5031,680
24.7531,24.7371,68.3085,0,2.025,0.2886,200288.3022,2.0425,0.315,24967.8087,680
28.1431,28.1284,73.0295,0,2.025,0.2886,200260.8171,2.0425,0.315,24967.1144,680
31.7601,31.7468,77.7728,0,2.025,0.2886,200233.3007,2.0425,0.315,24966.4202,680
35.6051,35.5934,82.5387,0,2.025,0.2886,200205.7528,2.0425,0.315,24965.7262,680
39.6794,39.6694,87.3325,0,2.025,0.2886,200178.1733,2.0425,0.315,24965.0322,680
43.9844,43.9762,92.1591,0,2.025,0.2886,200150.5619,2.0425,0.315,24964.3384,680
48.5218,48.5154,97.0186,0,2.025,0.2886,200122.9186,2.0425,0.315,24963.6447,680
53.2931,53.2887,101.9118,0,2.025,0.2886,200095.243,2.0425,0.315,24962.9511,680
58.2999,58.2976,106.8389,0,2.025,0.2886,200067.5349,2.0425,0.315,24962.2576,680
63.5436,63.5435,111.7806,0,2.025,0.2886,200039.7941,2.0425,0.315,24961.5642,680
69.0243,69.0264,116.7198,0,2.025,0.2886,200012.0208,2.0425,0.315,24960.871,680
74.7418,74.7464,121.6536,0,2.025,0.2886,199984.2147,2.0425,0.315,24960.1778,680
80.6955,80.7026,126.5653,0,2.025,0.2886,199956.3762,2.0425,0.315,24958.7919,680
86.8843,86.8939,131.4526,0,2.025,0.2886,199928.5053,2.0425,0.315,24958.0991,680
93.307,93.3193,136.3173,0,2.025,0.2886,199900.6022,2.0425,0.315,24957.4065,680
99.9621,99.9772,141.1455,0,2.025,0.2886,199872.6672,2.0425,0.315,24957.4065,680
106.8484,106.8664,145.9555,0,2.025,0.2886,199844.7003,2.0425,0.315,24956.7139,680
113.9653,113.9863,150.7633,0,2.025,0.2886,199816.7018,2.0425,0.315,24956.0215,680
121.3128,121.3369,155.5711,0,2.025,0.2886,199788.6715,2.0425,0.315,24955.3291,680
128.891,128.9183,160.3793,0,2.025,0.2886,199760.6096,2.0425,0.315,24954.6369,680
136.6999,136.7305,165.1881,0,2.025,0.2886,199732.516,2.0425,0.315,24953.9448,680
144.7394,144.7734,169.9974,0,2.025,0.2886,199704.3908,2.0425,0.3149,24953.2529,680
153.0097,153.0472,174.8065,0,2.025,0.2886,199676.2339,2.0425,0.3149,24952.561,680
161.5106,161.5517,179.6152,0,2.025,0.2886,199648.0454,2.0425,0.3149,24951.8693,680
170.2422,170.287,184.4232,0,2.025,0.2886,199619.8253,2.0425,0.3149,24951.1776,680
179.2044,179.253,189.2301,0,2.025,0.2886,199591.5736,2.0425,0.3149,24950.4861,680
188.3972,188.4497,194.036,0,2.025,0.2886,199563.2904,2.0425,0.3149,24949.7947,680
197.8205,197.877,198.8419,0,2.025,0.2886,199534.9757,2.0425,0.3149,24949.1034,680
207.4744,207.5349,203.648,0,2.025,0.2886,199506.6294,2.0425,0.3149,24948.4123,680
217.3589,217.4236,208.458,0,2.025,0.2886,199478.2517,2.0425,0.3149,24947.7212,680
227.4743,227.5433,213.276,0,2.025,0.2886,199449.8425,2.0425,0.3149,24947.0303,680
237.821,237.8944,218.1017,0,2.025,0.2886,199421.4017,2.0425,0.3149,24946.3395,680
248.3994,248.4773,222.9354,0,2.025,0.2886,199392.9294,2.0425,0.3149,24945.6488,680
259.2099,259.2923,227.7769,0,2.025,0.2886,199364.4255,2.0425,0.3149,24944.9582,680
270.1298,270.2497,232.6294,0,2.025,0.2886,199334.8371,2.0424,0.3149,24944.2677,680
281.258,281.425,237.4879,0,2.025,0.2886,199305.0703,2.0424,0.3149,24943.5774,680
292.5959,292.8198,242.3522,0,2.025,0.2886,199275.151,2.0424,0.3149,24942.8871,680
304.1411,304.4329,247.2212,0,2.025,0.2886,199245.0735,2.0424,0.3149,24942.197,680
315.8911,316.2632,252.0946,0,2.025,0.2886,199214.832,2.0424,0.3149,24941.507,680
327.8433,328.3093,256.9734,0,2.025,0.2886,199184.4211,2.0424,0.3149,24940.8171,680
339.9949,340.5702,261.8583,0,2.025,0.2886,199153.8355,2.0424,0.3149,24940.1273,680
352.3432,353.0445,266.7501,0,2.025,0.2886,199123.0701,2.0424,0.3149,24939.4377,680
364.8855,365.7313,271.6538,0,2.025,0.2886,199092.1201,2.0424,0.3149,24938.7481,680
377.6192,378.6295,276.5701,0,2.025,0.2886,199060.9811,2.0424,0.3149,24938.0587,680
390.5417,391.7383,281.4991,0,2.025,0.2886,199029.6487,2.0424,0.3149,24937.3694,680
403.6504,405.0569,286.441,0,2.025,0.2886,198998.1192,2.0424,0.3149,24936.6802,680
416.9427,418.5845,291.396,0,2.025,0.2886,198966.3889,2.0424,0.3149,24935.9911,680
430.4162,432.3205,296.3662,0,2.025,0.2886,198934.4548,2.0424,0.3149,24935.3022,680
444.0685,446.2644,301.3517,0,2.025,0.2886,198902.314,2.0424,0.3148,24934.6133,680
457.8975,460.4159,306.3535,0,2.025,0.2886,198869.964,2.0424,0.3148,24933.9246,680
471.9012,474.7747,311.371,0,2.025,0.2886,198837.4029,2.0424,0.3148,24933.236,680
486.0775,489.3407,316.4031,0,2.025,0.2886,198804.6291,2.0424,0.3148,24932.5475,680
500.4248,504.114,321.4499,0,2.025,0.2886,198771.6413,2.0424,0.3148,24931.8591,680
514.9416,519.0945,326.5109,0,2.025,0.2886,198738.4389,2.0424,0.3148,24930.4827,680
529.6265,534.2828,331.5866,0,2.0251,0.2886,198705.0215,2.0424,0.3148,24930.4827,680
544.4785,549.6793,336.6772,0,2.0251,0.2886,198671.3892,2.0424,0.3148,24929.7947,680
559.4968,565.2845,341.7693,0,2.0251,0.2886,198637.5425,2.0424,0.3148,24929.1067,680
574.6802,581.0988,346.8697,0,2.0251,0.2886,198603.4827,2.0424,0.3148,24928.4189,680
590.0287,597.123,351.9838,0,2.0251,0.2886,198569.2112,2.0424,0.3148,24927.7313,680
605.5424,613.3585,357.1078,0,2.0251,0.2886,198534.7295,2.0424,0.3148,24927.0437,680
621.2216,629.8064,362.2384,0,2.0251,0.2886,198500.04,2.0424,0.3148,24926.3562,680
637.0669,646.468,367.3745,0,2.0251,0.2886,198465.1454,2.0424,0.3148,24925.6689,680
653.0791,663.3448,372.5125,0,2.0251,0.2886,198430.0485,2.0424,0.3148,24924.9817,680
669.2594,680.4381,377.6537,0,2.0251,0.2887,198394.7529,2.0424,0.3148,24924.2946,680
685.6093,697.7499,382.7993,0,2.0251,0.2887,198359.2622,2.0424,0.3148,24923.6076,680
702.1308,715.282,387.9493,0,2.0251,0.2887,198323.5805,2.0424,0.3148,24922.9207,680
718.8261,733.0365,393.1038,0,2.0251,0.2887,198287.7119,2.0424,0.3148,24921.5473,680
735.6979,751.0157,398.2663,0,2.0251,0.2887,198251.6611,2.0424,0.3148,24921.5473,680
752.7493,769.2221,403.4366,0,2.0251,0.2887,198215.4327,2.0424,0.3148,24920.8608,680
769.9837,787.6585,408.6242,0,2.0251,0.2887,198179.0315,2.0424,0.3148,24919.4881,680
787.4052,806.3279,413.8261,0,2.0251,0.2887,198142.4626,2.0424,0.3148,24919.4881,680
805.0178,825.2332,419.0376,0,2.0251,0.2887,198105.7311,2.0424,0.3148,24918.8019,680
822.8255,844.3773,424.2578,0,2.0251,0.2887,198068.8424,2.0424,0.3148,24918.1158,680
840.8325,863.7629,429.4862,0,2.0251,0.2887,198031.8022,2.0424,0.3148,24917.4299,680
859.0433,883.3928,434.7223,0,2.0251,0.2887,197994.6162,2.0424,0.3148,24916.744,680
877.4623,903.2696,439.9652,0,2.0251,0.2887,197957.2902,2.0424,0.3148,24916.0583,680
896.094,923.3959,445.2145,0,2.0251,0.2887,197919.8301,2.0423,0.3147,24915.3727,680
914.9428,943.7743,450.4682,0,2.0251,0.2887,197882.2417,2.0423,0.3147,24914.6872,680
934.0133,964.4071,455.7256,0,2.0251,0.2887,197844.5312,2.0423,0.3147,24914.0019,680
953.3098,985.2963,460.9844,0,2.0251,0.2887,197806.7043,2.0423,0.3147,24913.3166,680
972.8365,1006.444,466.2422,0,2.0251,0.2887,197768.7672,2.0423,0.3147,24912.6315,680
