,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,第一期下,6717761734313538781,荣盛达💗埃尔法林小梦💗,4,这么早,20,14
1,第一期下,6717766947279403297,@刘威专业北京二手车（新华亿盛）,0, 沙发,20,3
2,第一期下,6717770458579798813,怎样_,1,期待,24,2
3,第一期下,6717771556156800304,,3,爆米花 : 有那么一点点紧张,23,33
4,第一期下,6717781644755009934,（´Д`）,2,爆米花 : 来了来了,22,10
5,第一期下,6717781703755232774,,0, 第一！,23,2
6,第一期下,6717791200448378401,,0, 来啦兄弟盟,23,8
7,第一期下,6717807806843917786,Z,0,我来啦  ,20,3
8,第一期下,6717815583410727329,,1,女神薇薇,21,24
9,第一期下,6717897790237902249,丸子i橘,0, 薇导，观众已就位,22,26
10,第一期下,6717887018359262230,,7,感人竟然还有下,20,1
11,第一期下,6717866436434869285,桥@,0,竟然还有下？？？,23,9
12,第一期下,6717984502670937441,momo,0,看到张大大 导演一副很那啥的表情,20,6
13,第一期下,6717985643608699341,young042050,3,赵薇赵薇,21,11
14,第一期下,6717986329789450838,🍡四喜丸子🍢,0, 太良心了！！！还有下！！！,23,4
15,第一期下,6717995541348235627,A🇨🇳高品质手工艺蛋糕🎂,0, 薇薇为你冲的会员哦，爱你❤❤❤❤,23,3
16,第一期下,6717999218372932295,Ping,0,竟然上下都有,20,1
17,第一期下,6718034333250558427,,0, 冲冲冲,23,0
18,第一期下,6718034447826404011,王大可君,0,张大大我是喜欢不起来！！,21,22
19,第一期下,6718037137955501420,,1, 这时长，不发弹幕对不起企鹅呀,24,40
20,第一期下,6717788999962270855,,0,来看黄奕,20,0
21,第一期下,6718055195135646752,,0,爽啊 还有,21,4
22,第一期下,6718115160512774245,,0,特地来看张大大被吊,21,14
23,第一期下,6718118918474631797,清欢渡.,0, 为了看张大大被怼特意开个会员,23,6
24,第一期下,6718197343709539765,悟空,0,我是来看 张大大的  哈哈哈哈哈哈哈哈哈哈哈！！！！！！！！！,20,0
25,第一期下,6718406169578642267,枫,0, 来了来啦,22,8
26,第一期下,6718410811964376128,FM🌟,0,  来了来了,24,3
27,第一期下,6718412022037546942,非顾,0, 沙发,22,2
28,第一期下,6718452698398006116,,0, 第一,24,0
29,第一期下,6718517873887870321,,0, 拉丝,21,1
30,第一期下,6718760909449711330,郑亚飞Z15257440138,0,娄艺潇加油,21,1
31,第一期下,6718808764670571123,,0, 爷来了来了来了来了,24,1
32,第一期下,6718884223945737692,,0,神,24,0
33,第一期下,6718909455040804419,拾玖。,0,再说我也想揍你了  哈哈,21,0
34,第一期下,6718925864316677833,,0,我是赵薇粉,22,2
35,第一期下,6718535940623027538,,0,来看我柏宇了呜呜呜呜！！！,22,2
36,第一期下,6718379824840377585,Grace💕,0,下不容易找啊,24,0
37,第一期下,6718373593194444864,,0, 赵薇导演来了,24,0
38,第一期下,6718316639872892062,,0,加油加油,22,0
39,第一期下,6719664348018014318,玖韵,0,迫不及待看张大大被怼,22,1
40,第一期下,6717762662764658281,嘿快看我会发光i,4, 第一！,17,15
41,第一期下,6717762976143055709,,3,爆米花 : 第一,18,34
42,第一期下,6717765818160184217,,3,为了看薇薇，充了季卡啊😄,18,25
43,第一期下,6717765919261050755,,0, 啊啊啊啊啊啊啊啊啊,17,31
44,第一期下,6717768411616132033,小熊软糖,1,爆米花 : 腾讯有心了,15,27
45,第一期下,6717784134804511757,Stubborn,0,竟然上下都有,15,22
46,第一期下,6717786020906548996,,4,娄艺潇加油,16,36
