,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,第三期下,6723200819518752612,SZK,1,魔鬼们，卡点了,25,15
1,第三期下,6723202156179158274,落墨,2,来看鬓边,28,10
2,第三期下,6723230130530433492,,3,怎么怎么李成儒现在怎么一直说好话了？哇靠,26,67
3,第三期下,6723233216108940936,,3,喜欢郭敬明,27,25
4,第三期下,6723250895560310510,,6,爆米花 : 6666,29,11
5,第三期下,6723251563588160738,,0,来了来了嘎嘎嘎,26,8
6,第三期下,6723254708305635343,,0,有啥爱的爱的，节目过后明星流量还不是现实……哎,25,6
7,第三期下,6723281457009328271,,4,我是演员里面李冰冰那演技才是牛逼,27,5
8,第三期下,6723368831144149630,。,0,两期半了，没一个真正好的片段,28,13
9,第三期下,6723383724953072484,lucky,2,时长牛逼,25,0
10,第三期下,6723384238218441812,丸子i橘,0,期待赵薇导演,27,2
11,第三期下,6723380217034341423,,0,哈哈哈关键的一票,26,5
12,第三期下,6723380211963410413,,0, 太开心了居然有两集,25,2
13,第三期下,6723387889976638587,,0, 曹骏挺棒的,26,3
14,第三期下,6723374024254494302,Heathens,0,曹骏曹骏,25,1
15,第三期下,6723400884941238675,,0,这时长也太可以了,25,1
16,第三期下,6723405462143960985,冥古幽兰,0,喜欢腾讯的不守时,25,0
17,第三期下,6723405479146615194,冥古幽兰,0, 一期四个小时太牛了吧,28,2
18,第三期下,6723424414337537404,臉上的快樂,0,来了来了,26,1
19,第三期下,6723428171367609778,,0,爆米花 : 一期四个小时太牛了吧,27,0
20,第三期下,6723428294161059356,,0, 这时长感人,29,3
21,第三期下,6723431575426988396,月,0,哇感人我还以为要等下周,26,2
22,第三期下,6723431780797891011,哇哇小太阳,4,曹俊,28,0
23,第三期下,6723463149778386254,陈红玉,0,居然有下一集，也太可以了,28,3
24,第三期下,6723468773505382242,,0,曹骏加油,25,4
25,第三期下,6723487119228476616,谈谈,0, 曹骏演技最好,29,5
26,第三期下,6723497954768300177,Sunflower,0,希望曹骏越来越好,27,0
27,第三期下,6723468003239250756,指南者呐,0,成儒老兄学精明了，哈哈,27,0
28,第三期下,6723461731584247469,,0,[圈粉6][圈粉6][圈粉6]曹骏,26,0
29,第三期下,6723458627760848260,梅子🌸,0, 曹俊加油＾０＾~,29,1
30,第三期下,6723524842390844822,雅俪🌸,0,太好了，我以为要等一周呢。,26,0
31,第三期下,6723591925997751578,,0,这6块钱还是值,28,0
32,第三期下,6723283254596059218,,0, 现在是一点半,27,0
33,第三期下,6723609405797108207,尐偏執,5,薇导来了,29,0
34,第三期下,6723624256883854929,,0,实在心疼曹骏,29,0
35,第三期下,6723274288318842568,,0,时长真诚了🉑️,29,0
36,第三期下,6723273797639093882,苦涩的海水,0,会员不是白开的,27,0
37,第三期下,6723805617494411017,＆人ぁ阀ㄢ夠,0, 曹骏加油,28,0
38,第三期下,6723256738981807001,，，，,0,挺开心的时候,28,0
39,第三期下,6723253251833532969,,0,111,29,0
40,第三期下,6723199092941900118,,1,我第二,23,11
41,第三期下,6723199956892022859,,0,报道,23,1
42,第三期下,6723201700132483197,,3,没人吗？？？,22,19
43,第三期下,6723203129045143101,,3,郭郭导师牛逼嘻嘻,24,21
44,第三期下,6723206160968778076,Lanjen·Zjong,0,张海宇张海宇！,22,10
45,第三期下,6723212966624770253,,0,被张铭恩圈的死死的 好帅一男的,24,21
46,第三期下,6723218837070094157,元宝,0,孙千孙千！！！,24,14
47,第三期下,6723220937292055840,,0,郭敬明好可爱,24,7
48,第三期下,6723242264676724884,放,0, 这时长！！爱了爱了,24,5
49,第三期下,6723248982006895595,,0,这一季最大的优点就是把李少红换成了尔冬升[圈粉6],23,60
50,第三期下,6723249057806396093,,0, 哇喜欢上曹骏了感觉他好可怜,24,2
51,第三期下,6723376606170591667,,0,这时长太爱了,22,2
52,第三期下,6723383716473195299,lucky,2,改名字叫我是导演我任性,23,1
53,第三期下,6723390807799432829,在路上,6, 曹骏演的不错，唉，终于发上来了,22,4
54,第三期下,6723391543370610282,呦吼,0,孙千,24,0
55,第三期下,6723430842003560896,,3,下，咋这么难找,20,12
56,第三期下,6723465794311877120,晴天star,0,我觉得曹骏还行吧其实演的,24,0
57,第三期下,6723469536060229298,恒,0,这节目时长感人，还分上下集，良心,22,3
