,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,第二期下,6720664046968221046,,3,溜了溜了，去看上了,20,27
1,第二期下,6720671881658659012,,1,爆米花 : 真正的第二来了,24,36
2,第二期下,6720678401516488151,,2,爆米花 : 来了来了,21,22
3,第二期下,6720681797638879261,,0, 第一,21,8
4,第二期下,6720692623607607792,,4,看驸马来了,22,10
5,第二期下,6720706377184431563,C＋Y＝Q,1,上下级一起看，真是太爽了。,23,37
6,第二期下,6720709457773526790,,3,前排,23,3
7,第二期下,6720892285636249631,马馨霞,5,哇 下集也这么快 爽了,22,12
8,第二期下,6720896519152089304,,0,第一万八报道,21,3
9,第二期下,6720901104177491678,,0, 来了,23,7
10,第二期下,6720917332149076996,,0,居然有下集，我以为没有了太开心了,21,4
11,第二期下,6720923162814949300,,0, 时长可以有,22,11
12,第二期下,6720927153039900593,,0,港剧大佬们我太爱了,21,2
13,第二期下,6720929850527784395,金刚芭比DAN,3,  居然有下集,22,2
14,第二期下,6720933241822573074,,0,这时长绝对好评,24,10
15,第二期下,6720933305908664942,,0, 太爽了。我以为还要等一周,24,10
16,第二期下,6720721983442718633,沉默的大多数,0, 以前的香港电影真的很厉害，演员也很棒,22,2
17,第二期下,6720949792245524689,,0,爱了爱了 上下两期 时长给力！,22,4
18,第二期下,6720949929558345512,惖,0, 好开心啊我又来了,21,3
19,第二期下,6720954223095687094,,0,哇这时长爱了,20,7
20,第二期下,6720954238996255591,,0, 可以接上看真香,24,3
21,第二期下,6720961263942794152,鲍米花,0,三个演完一起评,22,2
22,第二期下,6720973828384080398,,0,加起来将近四个小时，我去，牛牛牛,24,1
23,第二期下,6720977353213228342,,0,要哭死了，胡杏儿那段,21,0
24,第二期下,6721004072611623110,姜涛,0, 竟然有下   鹅厂够意思,20,5
25,第二期下,6721007341765408114,,0,真好，看完上，就有下，爱辽,20,5
26,第二期下,6721017152523139025,,0,喜欢黄奕,22,1
27,第二期下,6721045626739991369,,0, 我是来看怼人的,24,2
28,第二期下,6721047209615794297,,0, 打卡,21,0
29,第二期下,6721098684173897614,🔅,0,10.11号凌晨两点我在追剧！,20,2
30,第二期下,6721177990992480513,,0, 早,24,0
31,第二期下,6721123797471606091,,0,我的天我竟然熬夜追这个,24,4
32,第二期下,6721281958825412310,金金,0,太好哭了,20,0
33,第二期下,6721321708838993585,,0,前面说杏儿姐中规中矩的我就喜欢这种比流量小生好太多,20,4
