,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,第五期下,6728271870946380537,肖饭团,3,嗷嗷,0,8
1,第五期下,6728272391219378053,锤锤,0,来看娄艺潇了,0,25
2,第五期下,6728272485943900873,,1,占领空屏,0,28
3,第五期下,6728272969946614192,,1,不该出现的人,0,8
4,第五期下,6728273443781019093,,1,第一,0,3
5,第五期下,6728273664203570423,,1,曹骏可惜了,0,12
6,第五期下,6728274949828702336,,0,来啦,0,5
7,第五期下,6728275134085799237,茶的故乡,0,没人吗,0,6
8,第五期下,6728282288401432448,,8,。,3,0
9,第五期下,6728569457159379878,,5,。。。,4,3
10,第五期下,6728617456057172910,,0,联,4,1
11,第五期下,6728883727603626924,,6,爆米花 : 啦啦啦,1,1
12,第五期下,6728925757931979287,,0,哈哈,4,0
13,第五期下,6729025324932675546,,0,哈哈哈,4,2
14,第五期下,6729046255592786633,,8,我来了,2,0
15,第五期下,6729083637494913790,,0,只哈,4,0
16,第五期下,6729178399002263934,,0,nnn,3,0
17,第五期下,6729195683930678732,,0,天天,4,0
18,第五期下,6729005223168720412,,0,来了,4,0
19,第五期下,6729265242557631015,,0,1,2,0
20,第五期下,6729284946390170727,,0,哦哦哦,3,0
21,第五期下,6728797516998391647,平sir。,0,s s s,2,1
22,第五期下,6729358793797467665,,0,来了来了,4,0
23,第五期下,6729586282982474872,,0,里拉里拉,3,0
24,第五期下,6729743129051167066,,0,可以,1,0
25,第五期下,6729898043279346337,,0,kk,3,0
26,第五期下,6728598561124191602,刘咩咩,0,原来赵薇这么暖，话不多就是行动,3,1
27,第五期下,6728354869444545243,,5,迪迪,3,0
28,第五期下,6730122545287328647,,0,，,3,0
29,第五期下,6728331242792013172,,0,记得唯品会帮曹骏助力啊兄弟们,1,0
30,第五期下,6728273330505753664,,3,19.55报道,13,17
31,第五期下,6728273267690846082,平常心,3,我来啦，我来啦，腾讯真真的就是,11,23
32,第五期下,6728298135593433550,,6,爆米花 : 来了,10,17
33,第五期下,6728307976936029939,,0, 老马我来了,13,8
34,第五期下,6728562072797817496,,5,我来了，姐妹们,11,8
35,第五期下,6728580580692708039,飞飞飞,1,小时代！！,13,1
36,第五期下,6728932840584710051,,0,起来了,11,2
37,第五期下,6728968718618473923,,0,李智楠运气比曹骏好哦,13,3
38,第五期下,6729037746992773177,,0,了笑死我，这剧情,10,4
39,第五期下,6729053180693854584,,0,发个弹幕怎么就这么难,13,1
40,第五期下,6729073370207818332,,5,1,14,1
41,第五期下,6729076383844641562,🇨🇳优优🍵,0,最期待海宇的表演,11,1
42,第五期下,6729160088486427258,DY,0,郭敬明老师，我想要张S卡！,11,3
43,第五期下,6729004155165677465,粥粥雪粥粥,0,来了来了,14,2
44,第五期下,6728903366631992788,,0,就看尔导弄成啥样了,13,0
45,第五期下,6728878301902997677,,0,期待下期,14,0
46,第五期下,6728847405577915155,junson mark #^_^#,0,还好,10,0
47,第五期下,6728813582386476818,,0,来了,13,0
48,第五期下,6728695609693816840,,0,。,10,0
49,第五期下,6728684822018062742,,5,来看尔导,12,0
50,第五期下,6729609734744717824,,0,打卡,14,0
51,第五期下,6728652046514452310,,0,好看的哦,11,0
52,第五期下,6728627412582725185,,0, 6666,14,0
53,第五期下,6728625295809771872,,0,我来了,10,0
54,第五期下,6728572970999510009,,6,给曹俊投票,14,0
55,第五期下,6728498745089126547,,0,怎么感觉导演报团啊,11,0
56,第五期下,6728491813108741109,🦀Sin30°,0,怎么才能跳过主持人的part,10,0
57,第五期下,6728469694488179344,,0,其实就是尔导懂赵薇,14,0
58,第五期下,6728428768975066634,,0,郭敬明真的最喜欢流量,12,0
59,第五期下,6728367621429205051,,0,我先说好了  演的不好和导演可没关系,13,0
60,第五期下,6728271849701523071,,3,爆米花 : 我是第一个，哈哈哈哈哈,27,9
61,第五期下,6728271943206113420,,3,Diy第一个,25,2
62,第五期下,6728272151955648621,,4,第三,26,1
63,第五期下,6728273246011196390,,0,就喜欢这个前奏！,26,19
64,第五期下,6728568129997752144,乐皮钢蛋,0,来看辣木,26,2
65,第五期下,6728875878505715186,遗忘,0,第一,25,0
66,第五期下,6728896009034208132,,3,曹骏,28,1
67,第五期下,6728598570069589547,Ww  花 w 花花,0,就喜欢腾讯的不守时😍😍,26,2
68,第五期下,6728947289562476963,,0,我来了,27,0
69,第五期下,6728953957424051498,,5,赵薇不错，看别人没选都选了，确实挺好的这三个人,29,1
70,第五期下,6728987766861364547,,0,来了来了,26,1
71,第五期下,6729067078541130743,張真心。,0,爆米花 : 没人,26,0
72,第五期下,6729188480296433655,,0,来啦,29,0
73,第五期下,6729216237864417615,Eʟɪᴀᴜᴋ.,0, 来啦,27,1
74,第五期下,6728903628397508381,Hahhhnx,0, 看到李智楠笑了，真好,26,3
75,第五期下,6729298462614500228,陶震,0,佩服尔导的识人,29,2
76,第五期下,6728752216438667317,,0,3.40睡不着我来了,29,0
77,第五期下,6728709927466420966,,0, 赵薇的a卡把我看哭了。,28,3
78,第五期下,6729353028149166189,,0,最期待海宇的表演,27,0
79,第五期下,6729587114880039327,青春不止、伤与痛,0,1111,29,0
80,第五期下,6729687041355271325,,0,我又来看戏了,27,0
81,第五期下,6728645766870666598,,0,爆米花 : 来啦,29,1
82,第五期下,6728596831790969561,,0, 上下集一起看好爽啊,26,0
83,第五期下,6728498302142628307,,0,赵薇眼光最厉害,25,0
84,第五期下,6730252500416831827,,0,先占个位，哈哈,25,0
85,第五期下,6728272191693460012,,4,我来了，姐妹们,8,25
86,第五期下,6728281247006786562,,4,人,9,3
87,第五期下,6728283111370987835,,3,爆米花 : 老马我来了,5,21
88,第五期下,6728284820113393299,,0,拜拜,5,0
89,第五期下,6728299708553902734,这只鹿哇,0,了笑死我，这剧情,5,12
90,第五期下,6728307386362611739,,0,就看尔导弄成啥样了,8,14
91,第五期下,6728691944669029610,,0,…,8,0
92,第五期下,6728819372280228734,,0,打卡做任务,8,2
93,第五期下,6728871156898056237,,6,我,6,0
94,第五期下,6728953572324739550,,0,哇,5,0
95,第五期下,6728956113107580397,Grace Leeau,0,李智楠运气比曹骏好哦,6,12
96,第五期下,6729009083669034113,,0,冲,5,0
97,第五期下,6728892910352743023,,0,  哈哈,9,1
98,第五期下,6728834910360111196,,0,up,6,0
99,第五期下,6728795311914366407,,0,——,9,0
100,第五期下,6729440517584073821,,0,哈哈哈哈,5,1
101,第五期下,6728696382330752143,bxxka,0, 来了,5,1
102,第五期下,6729542261694505085,,0,，，，，，，,8,2
103,第五期下,6729689702691481391,小魔进,0,石延风，石延风石延风石延风,8,0
104,第五期下,6728643235004488783,,0,嗯,5,0
105,第五期下,6729978753000648471,,6,111,7,0
106,第五期下,6728499808912741466,,0,原来还有下集我说我怎么没看到寄生虫呢,7,0
107,第五期下,6728443519725404208,KV,0,每周就盼着这个,9,1
108,第五期下,6728371978346409830,,0,希望李智楠能越来越棒,9,0
109,第五期下,6728347305914861995,,0,华仔啊啊啊啊啊啊啊,6,0
110,第五期下,6730128512248161817,,0,方法,9,0
111,第五期下,6728332502945476233,,0,咔咔咔,6,0
112,第五期下,6728271954966678409,,1,爆米花 : 第一,18,14
113,第五期下,6728274875166951126,꧁༺墨言墨语༻꧂,3,来看辣眼的果郡王,15,12
114,第五期下,6728281583150199292,恭弥,1,小丁努力有回报！,17,16
115,第五期下,6728550825300882665,阿丢。,6,观影团 : 打卡,19,5
116,第五期下,6728699991045995975,,0,为啥不能投屏,17,5
117,第五期下,6728876290653830632,,0,嗯,19,0
118,第五期下,6728960643287235259,海边的晨曦,0, 看得出尔导和薇姐的感情挺好的,19,8
119,第五期下,6728986299164982941,枯棠,0,ymy在吗,18,2
120,第五期下,6729668503570773913,,6,我想看赵薇的戏，有的一起嗨起来。！。,16,4
121,第五期下,6728662140548787529,,0,曹俊曹俊曹俊曹俊,18,0
122,第五期下,6729727953330444713,,0,第一,15,0
123,第五期下,6729760582717129410,,0,谁,17,0
124,第五期下,6728633326422662872,,0,赵薇一直不选就是为了自己组的人，太好了,17,1
125,第五期下,6729800746989187504,,5,黑暗料理,16,0
126,第五期下,6728624238389302765,,0,.,18,0
127,第五期下,6728606321277939908,,0,为孟子义而来,15,1
128,第五期下,6728554581262367775,,0,感觉陈凯歌执导的演员表现都一般，还是赵薇比较懂演员,17,0
129,第五期下,6728527737196311268,,0,大家都是会员说话嚣张一点,17,0
130,第五期下,6728469742866603989,秋亦白,0,来啦来啦,16,0
131,第五期下,6728343295291326086,,2,人这么少,19,0
132,第五期下,6728272850337601108,,1,就喜欢这不守时,21,4
133,第五期下,6728275662270350416,Le vent se,2,来看辣眼的果郡王,24,16
134,第五期下,6728284473206970176,,1,哈哈来了,23,5
135,第五期下,6728877554704829941,52Hertz,0,凯哥心眼太小了,21,2
136,第五期下,6728928729557907073,早安，小小🌸🔮,4,小丁努力有回报！,23,2
137,第五期下,6729063194830511911,🍷,1,小时代！！,20,1
138,第五期下,6728901136183997204,岳帅妈妈,0,好看,21,0
139,第五期下,6729258610360569657,卷卷面,1,李智楠运气比曹骏好哦,22,2
140,第五期下,6729439536851650582,,0,1,24,0
141,第五期下,6728689287177631591,黄同学,0,厉害[圈粉10],20,0
142,第五期下,6728669856088442272,欢子,0,有谁跟我一样，最期待看辣目洋子的小时代顾里的,23,1
143,第五期下,6728542741460394721,,0, 看起看起,20,0
144,第五期下,6728532664342741441,,0,时长感人,22,0
145,第五期下,6730121338696173931,这里有个人,0,这个前奏莫名得好像欢天喜地七仙女的音乐😂😂,23,0
146,第五期下,6728308862623357112,远洋之舟,3,海宇来啦！！！！！！！,51,9
147,第五期下,6728657952937899574,风,0,喜欢小四导演,54,3
148,第五期下,6729036739072160246,三七二十一,0,真的有牛德华吗？,50,0
149,第五期下,6729429102581238161,,0,这几个都还不错啊，赵薇导得好,51,0
150,第五期下,6729433221941414174,,2,赵薇真是适合这个圈，玩的风生水起，厉害了我的姐,53,1
151,第五期下,6728668813384469636,【國】,0,马上卸载唯品会,51,0
152,第五期下,6728611636450981147,,1,爆米花 : 网上那个九强肯定是真的,52,0
153,第五期下,6730004388477339040,,0,爆米花 : 我开了个假弹幕,50,0
154,第五期下,6728532324922193991,LU,0,海宇海宇！！！,51,0
155,第五期下,6730104514378441578,,0, 辣目洋子什么时候才出来呀,52,0
156,第五期下,6728275103248300903,,2,来得太早了,35,3
157,第五期下,6728314962943967018,。。。。。。,3,这期还没有顾里嘛,38,10
158,第五期下,6728653753336493960,尽余生、,2,选角色选到赵薇组的运气真好。因为赵薇也太好了,39,14
159,第五期下,6728656692634124816,,0,这几个都还不错啊，赵薇导得好,39,1
160,第五期下,6728674686286669813,,0,赵薇眼光最厉害,38,3
161,第五期下,6728877079124259027,Lillian.L,6,棒,37,1
162,第五期下,6728988747419337788,李茜,0,赵薇真是适合这个圈，玩的风生水起，厉害了我的姐,38,5
163,第五期下,6729013754596618665,,0,我的小可爱们，你们最喜欢哪一位演员呢？,37,4
164,第五期下,6728991418510488893,A👄 果果 ❤,0,来看辣眼的果郡王,35,0
165,第五期下,6728919765638909644,,0,曹俊，李智楠演的都不错,38,1
166,第五期下,6728718345329690530,柠栀兮子🌞,0, 来啦来啦,39,1
167,第五期下,6729324603479620420,,0,卡了,37,0
168,第五期下,6729336984595608762,VV,0,佩服尔导的识人,36,0
169,第五期下,6729381158707198769,,0,来了来了,35,0
170,第五期下,6728666594697310453,,0,是赵薇,35,0
171,第五期下,6729707957472701447,,0,陈宥维到底哪里帅了搞不懂,37,0
172,第五期下,6728598103735339832,,0, 期待曹骏,38,0
173,第五期下,6728560768968060987,王振州,0,赵薇不错，看别人没选都选了，确实挺好的这三个人,37,0
174,第五期下,6728509827673783213,半个海洋,0,郭敬明审美太狭窄了，而且选的帅哥并没多帅,38,0
175,第五期下,6728344991955358020,,0,中国有那么多的电影呢，为啥要演韩国的电影呢？,35,0
176,第五期下,6728280624614281756,,3,爆米花 : 我来早了？？？,44,5
177,第五期下,6728291706245494845,,2,来看辣眼的果郡王,41,4
178,第五期下,6728303823593602821,,0, 丁程鑫,41,4
179,第五期下,6728308835418144045,远洋之舟,0,海宇海宇！！！,44,10
180,第五期下,6728928810949388515,早安，小小🌸🔮,4,这期还没有顾里嘛,44,0
181,第五期下,6728344472901585756,欧拉玉,0,尔导都要听话的,44,0
182,第五期下,6729064682910848270,,5,爆米花 : 曹骏孟子义任敏孙千加油冲冲冲[小金鹅10][圈粉10],43,3
183,第五期下,6728973914492924598,晨雨希梦,0,赵薇不错，看别人没选都选了，确实挺好的这三个人,40,1
184,第五期下,6728906696527693345,cherry🍬,1,这件西装确实好看,44,1
185,第五期下,6728897685363335870,,3,就喜欢这个前奏！,40,0
186,第五期下,6728879083922892664,,0,赵薇眼光最厉害,41,0
187,第五期下,6729299385407174043,生如夏花,6,金毛狮王争霸来听听看蛮子,42,1
188,第五期下,6729311126619190179,,0,棒,44,0
189,第五期下,6728658633828611243,,0, 哇哈哈,42,0
190,第五期下,6728548384204374751,,0, 好好看,42,0
191,第五期下,6728546425523127909,旅游高磊,0, 就喜欢这个前妻,41,0
192,第五期下,6728491783664726997,,0, 来了,44,0
193,第五期下,6728272580248613682,,3,111111,32,2
194,第五期下,6728272554291041380,,1,爆米花 : 就喜欢腾讯的不守时,31,9
195,第五期下,6728304630004434766,小新酱丸子,4,就喜欢这个前奏！,34,11
196,第五期下,6729038652308127248,,0,哇哇哇,34,0
197,第五期下,6728772824484820621,Mr. 99%,0,上周的同一时间，第四集下的弹幕是3万条，现在只有3千,31,1
198,第五期下,6729356472997150411,孟帅,0, 看到李智楠笑了，真好,32,1
199,第五期下,6729360091600365856,高人,2,大鹏主持人怎么总是和李成儒唱反调，严重不合格，,33,0
200,第五期下,6729528260671556807,,0,啦啦啦,32,0
201,第五期下,6729653778589972065,贾丽丽,0,感觉。。,32,0
202,第五期下,6728643846366237279,😒腻歪小腻歪,0, 尔冬升说偶遇角色的时候  赵薇情商很高,31,1
203,第五期下,6728475514131477860,T-BAG,2,但是为什么不救曹骏，薇姐，忘了你们的婚约吗,30,0
204,第五期下,6729008341521204950,园园🌸,1,这几个都还不错啊，赵薇导得好,49,1
205,第五期下,6729281772053531283,,6,？,45,0
206,第五期下,6728734741861249561,在等月亮吗🌙,2,选角色选到赵薇组的运气真好。因为赵薇也太好了,46,5
207,第五期下,6729377972979483313,熊伟(ー_ー)!!！,0,赵薇厉害！,45,1
208,第五期下,6729559480687163537,,3,赵薇真是适合这个圈，玩的风生水起，厉害了我的姐,47,1
209,第五期下,6729639943648853574,Katrina,0,我的小可爱们，你们最喜欢哪一位演员呢？,45,0
210,第五期下,6728273477453159215,,4,还有人嘛,59,4
211,第五期下,6728275753202552264,函,0,来晚了几分钟,59,4
212,第五期下,6728298448656993242,迩给的爱*依然温柔'',1,喜欢薇姐,55,7
213,第五期下,6728861821476215693,,1,感觉曹骏是点背，没遇对好导演,56,9
214,第五期下,6729211769665331996,,0,选角色选到赵薇组的运气真好。因为赵薇也太好了,56,1
215,第五期下,6728685241068136584,Leo,0,曹骏真名小和尚,59,0
216,第五期下,6728543482547473508,,3,爆米花 : 门徒 经典电影啊,57,1
217,第五期下,6730095218601209008,,0,一直等辣目洋子,55,0
218,第五期下,6728281900378687987,,6,来晚了几分钟,71,3
219,第五期下,6728283658969955493,小庄,3,来了来了 现在是vip留个言,72,3
220,第五期下,6728978681639148208,,4,爆米花 : 越来越觉得陈凯歌不怎么样了呢？,70,8
221,第五期下,6728996415726930641,小公zhu,0,喜欢薇姐,70,0
222,第五期下,6729365216225145879,翟,0,赵薇真的好,70,0
223,第五期下,6728693320970862713,GoodXx,1,爆米花 : 曹俊可惜啊,73,1
224,第五期下,6729691325413182017,全是海景房🎼,0, 为什么没有人选曹俊我真得觉得曹俊很优秀,73,1
225,第五期下,6728286241600058975,,1,都没人啊,86,2
226,第五期下,6728554779687191651,我,3,等了一个星期门徒你终于来了,89,6
227,第五期下,6728877862780641966,,5,  11111111,88,1
228,第五期下,6728969036471219952,,0,陈宥维能进曹俊不能进，吃了排序和剧本的亏,89,3
229,第五期下,6729042052072897613,.,0,童年都是曹骏。莲花童子哪吒电视剧,89,0
230,第五期下,6728902191727710636,mon,1,大家为曹峻助力吧,85,3
231,第五期下,6728681410790979448,水镜先生,0,门徒又演砸了，这次凯歌准备怎么狡辩呢？,88,0
232,第五期下,6729603154036932144,,1,爆米花 :  喜欢任敏,87,0
233,第五期下,6728673571700408606,,0,不通过天理难容,86,0
234,第五期下,6728564590185530305,小马爱吃糖,0,有谁跟我一样，最期待看辣目洋子的小时代顾里的,89,0
235,第五期下,6728558657165358066,,1,期待曹骏回来,89,0
236,第五期下,6728448953625902517,,0,杜淑媛依然爱王卫民,85,0
237,第五期下,6730090222495921486,,0, 我为曹骏发电洗洗,89,0
238,第五期下,6728281217213937078,violetづfallen,4,果郡王我来了，，，，，，，,83,9
239,第五期下,6728286134717620699,,3,来了,84,0
240,第五期下,6728287681258179342,,0,  11111111,84,2
241,第五期下,6728288596925065553,江上清风游,0,11,83,0
242,第五期下,6728556940365067118,🍓,0,期待施柏宇,84,0
243,第五期下,6729037179474443512,,0,期待洋子,84,0
244,第五期下,6728964060307011075,,5,上集的昨天很不错,84,0
245,第五期下,6729271404711617952,Jヤiシe,0,捞曹骏  大伙意下如何,83,4
246,第五期下,6729327283372493856,,0,来看赵薇,81,2
247,第五期下,6729363301978370920,🍓 ：岂有此理,0, 我为曹骏发电洗洗,84,1
248,第五期下,6728685572434628047,Leo,0,期待曹骏,81,1
249,第五期下,6728676610113212933,灿霖,0, 赵薇虽然工作严厉，但是对合作的演员拿出最真诚的态度！暖心赵导！,84,0
250,第五期下,6728670505986456606,ㅤㅤㅤ 萧萧,0,曹骏,84,0
251,第五期下,6729728463227822821,momo,0, 为什么没有人选曹俊我真得觉得曹俊很优秀,81,1
252,第五期下,6728650879173902381,喵喵,1,好喜欢尔冬升导演[圈粉10],81,0
253,第五期下,6728613509392249935,遇择,0,对赵薇路转粉,83,0
254,第五期下,6728607248786366946,,0,昨天好评,83,0
255,第五期下,6730074817577854236,无尾熊,1,观影团 : 清芷园顺丰女孩[圈粉10],82,0
256,第五期下,6728284781735814397,,1,在的扣个1,77,6
257,第五期下,6728319994045150517,,2,上集的昨天很不错,76,10
258,第五期下,6728532539914832090,,0,期待施柏宇,76,3
259,第五期下,6728867856626686995,蓝六6085,2,陈宥维能进曹俊不能进，吃了排序和剧本的亏,78,6
260,第五期下,6729006651854530948,颜门🔥毛甜as鬼炫,0, 扎心了，老铁,78,0
261,第五期下,6728907214258978061,刘阿权,0, 我一直喜欢一个人，她叫刘思斯，永远爱。。。,75,2
262,第五期下,6729406001393988284,,0,  [小金鹅10][圈粉10][敲黑板10]ii,77,0
263,第五期下,6729814150929164659,颖哥,3,李智楠挺好的 值得晋级,75,0
264,第五期下,6728425205250851336,,0,阿祖投降吧，外面全是成龙,75,1
265,第五期下,6728332669832638428,,2,爆米花 : 看不到辣木了吗,79,0
266,第五期下,6728306548181290073,邻避,2,喜欢薇姐,60,8
267,第五期下,6728309962608673448,,3,上集期待贺开朗，这集期待张海宇,62,13
268,第五期下,6728928893937848708,早安，小小🌸🔮,4,来晚了几分钟,63,0
269,第五期下,6728944317811331120,,0,爆米花 : 越来越觉得陈凯歌不怎么样了呢？,63,10
270,第五期下,6729206628564314392,,1,赵薇情商高，会做人不然怎么和马总混,61,4
271,第五期下,6728882965629609760,,2,想要王锵全部资料 5分钟,62,0
272,第五期下,6729391815334753896,,0,选角色选到赵薇组的运气真好。因为赵薇也太好了,63,0
273,第五期下,6729429128208428759,,5,赵薇不错，看别人没选都选了，确实挺好的这三个人,60,1
274,第五期下,6729611539391125556,,0,优优秀,63,0
275,第五期下,6728347413851081267,,0,表白娄艺潇,62,0
276,第五期下,6728275493050846182,,6,爆米花 : 我一直喜欢一个人，她叫刘思斯，永远爱。。。,69,20
