,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,第四期上,6725732737719928881,寻,0,S卡 : 七点四十已更新,7,66
1,第四期上,6725732950694103416,,4,来啦来啦,9,32
2,第四期上,6725733023276846337,,0, 来了,9,2
3,第四期上,6725733107501642792,Marco,3,就喜欢你的不准时,5,28
4,第四期上,6725733124921297549,野草,0, 这是相当不准时啊,9,8
5,第四期上,6725733178062419086,,0, 第一第一,7,16
6,第四期上,6725733175806905839,,1,S卡 :  第一第一啊,8,27
7,第四期上,6725733376855670422,WANG,0,1,5,0
8,第四期上,6725733471499780023,星缘,0, 就喜欢腾讯的不守时,9,11
9,第四期上,6725733645963172584,,0, 小丁加油,9,2
10,第四期上,6725733838347243223,haʚ🦄ྀིɞha,0,  第一第一,9,2
11,第四期上,6725734317089598178,,0, 就喜欢腾讯的不准时😂,7,18
12,第四期上,6725734410327979226,,0, 哈哈,7,5
13,第四期上,6725734443882396780,,0,第一,5,1
14,第四期上,6725735574214478481,,0, 第一？,5,6
15,第四期上,6725735659782775664,楼吹雪,0,我最爱的节目，，，,9,2
16,第四期上,6725735649669297281,婉婉,0,来啦 来啦 它来啦,7,10
17,第四期上,6725735965223223273,௸桃子೨゜,0, 打卡220.10.24.19:50,5,3
18,第四期上,6725736163472248554,,0, 就喜欢腾讯的不准时,5,3
19,第四期上,6725736180996351847,,0, 来了来了 我真的来了,8,8
20,第四期上,6725736587129451617,君🤗🐾,0,玉林的来了,5,3
21,第四期上,6725736860283845997,李梦男 🍒,0,喜欢腾讯的不守时,7,2
22,第四期上,6725737006477323655,,0, 曹骏,9,0
23,第四期上,6725737040103019023,,0,来了,8,1
24,第四期上,6725737216221890701,,0,  腾讯。你不守时,8,4
25,第四期上,6725737526356114084,,0,111,7,0
26,第四期上,6725738070425445721,,1,S卡 : 111,6,12
27,第四期上,6725738074598788809,,0, 1111,8,2
28,第四期上,6725740843090772465,,0, 来了,6,6
29,第四期上,6725742369200869252,,0,冲冲冲,8,3
30,第四期上,6725746206963860134,简,0,来啦,7,0
31,第四期上,6725747221151029549,,0,妲己,6,1
32,第四期上,6725750432522762711,,0,来了来了,6,6
33,第四期上,6725761399991543551,阿轩！！,0,这么长,6,2
34,第四期上,6725764680762195258,,0, 。,6,0
35,第四期上,6725781257365951579,,0,  郭敬明我需要super卡,8,1
36,第四期上,6725929547055210882,,0,一,6,0
37,第四期上,6725931152617704233,,0, 酷酷酷,6,0
38,第四期上,6725989902095729113,,0, 22,8,0
39,第四期上,6725892225072562952,,0, 下面有请膏药贴发表意见,5,1
40,第四期上,6725732567603152706,,4,S卡 : 第一,14,13
