,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
0,第四期下,6725736630792156359,,3,S卡 : 第二,25,8
1,第四期下,6725737497742572146,一定是我的名字不够酷.🤔,0,来了来了来了,25,1
2,第四期下,6725739159568756109,,5,观影团 : 来了来了,28,14
3,第四期下,6725742798423914088,,1,爆米花 : 来了,29,4
4,第四期下,6725747005794526056,,2,来了来了,27,7
5,第四期下,6725749788971090970,,0, 哈哈哈哈哈哈哈哈哈,29,6
6,第四期下,6725759424612734933,,0,给我s卡,27,4
7,第四期下,6725762513007817228,,1,为赵薇导演而来,29,1
8,第四期下,6725767614964106470,,0, 替曹不值,29,11
9,第四期下,6725770337792309682,,0, 来了来了,28,3
10,第四期下,6725770503699022370,,0,曹俊不应该啊,25,7
11,第四期下,6725776839382597442,,0, 曹骏多好演的,25,13
12,第四期下,6725777110960941183,,0, 真的别让张大大出来了，我看到他饭都吃不下了,28,6
13,第四期下,6725778653818900205,,0, 晏紫东加油！你很棒,25,2
14,第四期下,6725782218314554816,,0, 来了,29,1
15,第四期下,6725793741652112424,,0,曹骏曹骏啊,27,5
16,第四期下,6725795849433454914,王飞帆同学,0,哈哈,27,0
17,第四期下,6725806264250021160,乱世浮生,0,唯品会为曹骏助力,25,2
18,第四期下,6725810002968722518,天~,0,曹骏比那个男的演得好吧     什么情况啊   无法理解,25,0
19,第四期下,6725874376308359733,,0,曹骏演的很好啊，为什么没有,29,1
20,第四期下,6725913801997352532,神经蛙,0, 999,25,0
21,第四期下,6725947428249781411,,0,大导演,28,2
22,第四期下,6725953644895155757,华能章小洪,0,一个个都在往精英阶层凑，结果一个个都脱离了人民群众,27,9
23,第四期下,6725966949810109344,,0, [小金鹅8]1111,28,1
24,第四期下,6726008856376440892,圆,1,S卡 :  来了,26,2
25,第四期下,6726031349758062738,麻薯花儿,0,S卡 : 这片段就曹俊演的还像样点好吗？,29,0
26,第四期下,6726038736565948295,,0,曹骏演的很好啊,29,0
27,第四期下,6725826128264068099,,0, 哦什么哦哦哦,26,1
28,第四期下,6726095014251231009,,0, 尔导可以,28,0
29,第四期下,6725816461602309582,,0, 曹骏实力惨,27,2
30,第四期下,6726121074758981432,,0, 曹骏！！！,26,2
31,第四期下,6726125560596202983,五月の拥抱,0, 尔冬升怎么和第一季的李少红那么像呢？,26,1
32,第四期下,6726149240080768998,,0,啦啦啦,28,0
33,第四期下,6725796144595016578,,0,看的糟心，溜了,26,0
34,第四期下,6726314802093243042,,0, 冲冲冲,26,0
35,第四期下,6725789567753418744,,0, 开始你的表演,27,0
